imageid,productid,left_border,right_border,top_border,bottom_border,real_width,real_height
1314144199,4186151297,108,451,56,425,343,369
1218797028,3518678082,62,436,0,499,374,499
1208359214,3354210416,56,446,13,479,390,466
1075760504,1352146019,12,493,107,391,481,284
978906571,280635866,84,415,12,499,331,487
1223024848,1706096915,199,288,275,441,89,166
1176898982,2964292933,0,499,0,483,499,483
1276736560,4015993870,41,481,16,469,440,453
1262368422,3906641561,85,421,25,420,336,395
1315073675,4187103218,87,390,48,466,303,418
1074164004,1331365254,123,376,29,487,253,458
1211101013,3337950603,0,499,109,389,499,280
1310109363,4182218778,1,498,1,498,497,497
1258428352,3883435524,72,431,71,436,359,365
1308731891,4177821854,53,443,63,437,390,374
1308870600,669435628,100,399,4,495,299,491
1074924262,1339958617,57,471,63,439,414,376
1289879873,4090297974,0,499,0,499,499,499
1253404161,3856341334,0,499,0,499,499,499
1317403038,4212780769,26,429,213,305,403,92
1065104332,1146460907,26,452,83,426,426,343
1282168698,4055588302,0,499,0,499,499,499
1283788300,4061614066,0,499,0,499,499,499
941642508,207170094,148,344,191,321,196,130
1203549543,3278400790,33,444,61,473,411,412
1156925896,2678802081,74,328,80,485,254,405
1191974429,3119858180,227,271,0,499,44,499
997323780,86788227,190,309,161,338,119,177
1295714126,4127634496,15,483,97,392,468,295
1241918777,3761153790,62,436,0,499,374,499
1242377626,1940871807,96,402,0,499,306,499
1306862799,4168957944,0,499,0,499,499,499
1310296496,4182232502,0,499,0,499,499,499
1280703883,4046438586,27,487,16,493,460,477
1033368774,649859028,73,426,0,499,353,499
1254950559,3867138557,0,499,76,499,499,423
1245174234,3789529184,144,348,92,443,204,351
26349630,1089348,183,316,165,334,133,169
1145068951,2491686206,0,499,80,419,499,339
1104836840,1843977785,186,312,150,349,126,199
1111238768,1909701858,137,361,100,380,224,280
1240248980,3745290391,226,286,206,286,60,80
1247850390,3813556964,146,442,11,442,296,431
1260706640,3895301087,38,479,53,456,441,403
1316908650,4201013137,236,364,0,499,128,499
1241777898,3760779089,22,487,10,470,465,460
1038810062,766510970,0,499,0,499,499,499
1308591311,4177046907,62,437,0,499,375,499
1261242685,3898715012,40,450,52,475,410,423
1261363307,3898715436,0,499,0,499,499,499
1308865973,834895030,103,394,32,479,291,447
1074404360,1335647251,193,321,123,380,128,257
1285935684,4071453892,68,430,0,499,362,499
1316981385,4211261203,0,499,0,499,499,499
1273922954,3995624503,35,447,8,499,412,491
1248271892,1988146419,0,499,0,499,499,499
882251378,68372906,62,436,0,499,374,499
1301185797,4150963433,0,331,71,433,331,362
1053340329,1030147918,0,499,0,499,499,499
1195285015,3163637962,0,499,62,436,499,374
862564288,102721141,0,499,55,443,499,388
1129244176,2164736351,0,499,62,436,499,374
1225222114,2961629784,18,473,157,330,455,173
1131269671,2200057843,110,389,46,452,279,406
1292353402,1558490402,96,403,54,445,307,391
1267998353,3945013809,0,499,0,499,499,499
966222707,252128046,0,499,62,436,499,374
1317266039,4210988558,20,483,53,471,463,418
152931730,3298548,145,354,101,397,209,296
1260996259,3896895617,68,431,6,494,363,488
228983730,6539258,198,300,175,324,102,149
1264217953,3924749001,86,236,165,349,150,184
1253971050,3859456118,67,440,77,446,373,369
854001380,85235805,200,304,200,296,104,96
1161303174,2736731122,6,493,6,492,487,486
1027376908,570736742,100,399,61,437,299,376
1027216954,570613331,102,396,58,449,294,391
1120614166,2015760452,45,452,24,478,407,454
1262970504,3910715927,155,343,111,361,188,250
1209715771,3382584268,125,361,25,499,236,474
845817640,74894958,77,421,0,499,344,499
1026983694,569748421,101,397,50,449,296,399
1296949900,3155075604,5,495,110,389,490,279
1227361528,3609615119,0,499,0,499,499,499
1100068708,1711736635,110,389,52,447,279,395
1101786925,1783738989,0,499,71,427,499,356
1119523731,2000192049,110,389,54,445,279,391
1240241306,3745176222,100,410,16,491,310,475
1311001240,4182114207,56,439,92,428,383,336
1312591191,4195542807,0,499,24,499,499,475
1279086616,4037578218,52,444,17,411,392,394
970751900,260155544,55,443,0,499,388,499
934207623,191760680,52,446,0,499,394,499
883863126,128976693,130,365,196,349,235,153
1249533254,3819977563,0,499,0,499,499,499
1267306297,3942511945,139,362,176,339,223,163
862580905,102706999,56,443,108,399,387,291
1140413606,2412170956,0,499,0,499,499,499
1287255019,4077173787,54,447,66,410,393,344
1286504294,4075180648,74,428,85,385,354,300
1248861705,3817906297,57,441,0,498,384,498
1204203688,3287132525,0,499,62,436,499,374
1146981136,2527236610,110,389,89,446,279,357
1061736258,144561035,94,409,136,373,315,237
971430352,262168587,80,412,14,485,332,471
964625242,247668246,0,499,0,499,499,499
1040953139,820899556,75,423,0,499,348,499
1041682278,831980344,0,499,35,499,499,464
1159838466,2720289759,0,499,109,389,499,280
1112217018,279940631,168,338,121,399,170,278
1285855642,4070703050,95,433,82,420,338,338
1256796108,3875046886,0,499,0,499,499,499
893599139,141552868,0,499,62,436,499,374
1307775360,4172824019,140,407,177,359,267,182
1251223117,3838166662,3,493,133,361,490,228
1007578731,435064136,100,399,54,444,299,390
1231548560,3652337089,82,418,12,486,336,474
1121211342,2033309235,122,379,55,441,257,386
1320362751,4224247275,68,433,72,432,365,360
1313040982,4197486788,88,458,102,420,370,318
1243660170,3775276273,0,499,62,436,499,374
1255744420,3871039069,48,470,148,379,422,231
931906421,109386828,210,289,195,303,79,108
1129476183,2167484351,83,415,0,499,332,499
555231785,53571452,84,427,147,368,343,221
1253353061,3856416853,8,491,109,334,483,225
1008110511,435934990,114,384,50,449,270,399
1294300723,4122629451,0,499,0,499,499,499
1211365875,265021062,84,414,0,499,330,499
1299164017,4141881187,110,392,24,484,282,460
1145871472,2506069522,6,499,62,423,493,361
885986817,131727301,89,410,0,499,321,499
1301061670,4150468017,21,474,151,365,453,214
1027311214,570721236,105,393,50,449,288,399
1278212779,4030676925,42,467,141,323,425,182
1308391907,4176108298,0,499,0,499,499,499
848493970,79418179,117,382,50,449,265,399
1192038389,3120558317,68,432,22,488,364,466
1243430690,3773723285,19,480,95,403,461,308
922170809,170808081,228,253,381,389,25,8
1100065256,1711736794,110,389,51,447,279,396
1232140309,3657410568,0,499,109,389,499,280
965176430,249806307,8,485,108,384,477,276
1311248154,4186265145,0,499,0,499,499,499
1250279240,3831652823,31,468,104,395,437,291
1199834142,3236687278,109,389,0,499,280,499
1115610365,1947847610,75,432,179,316,357,137
1264892186,3927844649,0,499,62,435,499,373
1240233958,3745142771,100,399,17,481,299,464
1008055003,435922736,102,396,50,449,294,399
1143218488,2462594126,38,469,24,469,431,445
288333283,3099845,60,438,1,499,378,498
1211052874,3382865061,62,436,0,499,374,499
1042806088,844807090,0,499,109,389,499,280
1283698939,4061599082,0,499,0,499,499,499
1232788558,3669129286,66,433,44,387,367,343
1249534646,3819979615,198,319,200,366,121,166
1131253014,2199079797,62,436,0,499,374,499
1117990421,1978505191,91,408,179,334,317,155
1185798563,3022762652,2,416,122,341,414,219
846231554,51660270,219,280,207,291,61,84
1281708194,4052932265,0,498,0,499,498,499
1118587094,1968807436,159,350,176,328,191,152
1130104148,2176449987,66,435,33,476,369,443
1215354595,3470026376,248,317,225,308,69,83
1276321740,4012664262,50,443,150,397,393,247
1095646708,1638136076,125,374,89,409,249,320
1129954723,1859604387,0,499,54,445,499,391
1308857331,278395544,116,329,156,317,213,161
1267317211,3942396930,0,499,0,499,499,499
1126347198,2102765426,122,376,69,429,254,360
1236318280,3707217485,44,450,96,365,406,269
1254400351,3861820677,92,420,41,470,328,429
1227156008,3607249260,25,477,48,475,452,427
851416443,71425914,196,302,177,324,106,147
1283862810,4061620374,146,350,161,363,204,202
1202499987,3255495088,99,390,34,404,291,370
1275724163,4006541369,31,470,107,431,439,324
1215805777,3473988164,30,467,59,388,437,329
1301862649,4153657017,1,498,0,499,497,499
946272484,57158581,151,353,113,391,202,278
1291291438,4101477399,43,460,99,397,417,298
1169545491,1161967678,73,433,5,494,360,489
1253508207,3856532289,0,499,0,499,499,499
1283582215,4061585903,0,499,0,499,499,499
1323323611,4231757250,90,384,111,373,294,262
1312712898,4190022101,62,436,0,499,374,499
1238325506,3727749092,186,313,165,334,127,169
1132971613,2236453058,83,396,16,490,313,474
973608034,269653773,0,499,82,416,499,334
1242393906,3764612706,162,384,20,425,222,405
1070591328,1269698149,62,436,0,499,374,499
1054763994,1048262467,0,499,62,436,499,374
1316116252,4200871126,15,480,18,475,465,457
1286906564,4074700949,0,460,202,499,460,297
1104741112,1842321402,123,375,32,391,252,359
1008151462,436086838,150,349,100,398,199,298
1017625288,253333004,190,309,170,328,119,158
1026823677,569577451,106,392,50,449,286,399
854951431,87887586,131,368,91,407,237,316
1213865693,3454896862,0,499,62,436,499,374
1241195686,3753672796,106,406,43,423,300,380
1030859441,604695811,0,499,109,389,499,280
1043865038,509741879,62,436,0,499,374,499
1309688029,4179732091,116,392,48,464,276,416
1289492013,4088731560,97,421,21,476,324,455
1202966577,1898222001,145,353,100,399,208,299
915744593,160527192,0,499,62,436,499,374
983130584,286972595,62,436,0,499,374,499
1265222680,3929899379,36,461,158,343,425,185
930124671,181474879,71,427,0,499,356,499
1323693415,4234264483,0,499,0,499,499,499
1104812743,1843326484,0,499,0,499,499,499
1313577439,4183494607,43,461,156,347,418,191
1174587977,2940639009,3,497,28,479,494,451
869179809,112990059,62,436,0,499,374,499
1317243627,4210986939,73,436,134,351,363,217
854231581,49390095,80,419,0,499,339,499
1097910338,1669269044,0,499,0,499,499,499
971051557,261235527,50,436,110,389,386,279
1253632041,2063231964,83,415,0,499,332,499
1311803845,4188954092,1,499,1,499,498,498
1174119805,2928809429,199,299,180,328,100,148
1196142973,3182053327,0,499,0,499,499,499
1283716249,4061605899,67,450,35,448,383,413
1323289960,4231691921,154,440,96,367,286,271
1026338150,562058384,0,499,62,436,499,374
836169371,70643228,71,427,0,499,356,499
1063834129,1132089715,110,396,27,485,286,458
1037158582,256399732,72,428,139,360,356,221
1139427013,1892606206,97,400,182,321,303,139
1296193943,4128244668,39,460,0,499,421,499
1224722542,3513758542,163,339,5,495,176,490
1215528350,3470070033,10,489,90,409,479,319
1283040071,4060154743,90,356,0,499,266,499
1237180785,3716580569,2,499,0,499,497,499
1278120472,4029710905,125,381,29,481,256,452
1316110014,4200870153,42,443,2,364,401,362
1275115299,4004084742,33,458,61,464,425,403
1241681162,3759513810,23,476,81,418,453,337
1253159957,3855208660,36,458,41,460,422,419
1045535580,868090744,145,354,100,399,209,299
1283585055,4061586083,0,434,191,322,434,131
1225886751,532978837,145,356,166,360,211,194
921947802,170165542,176,314,120,308,138,188
1304164075,4160985105,106,388,51,463,282,412
1260285585,3893195980,5,499,0,473,494,473
949384953,212342781,110,272,167,364,162,197
1218265372,3503584178,0,487,2,358,487,356
1220533345,3547769456,100,399,137,361,299,224
1320567349,1892782241,0,499,0,499,499,499
1274895124,4001824273,8,490,164,265,482,101
1100070811,1711736367,110,389,50,448,279,398
1251049903,3837313643,16,457,44,490,441,446
1276005005,4010222088,189,322,135,483,133,348
1261424100,3898727688,0,447,0,499,447,499
1168014999,2849849933,60,439,128,387,379,259
1225887245,2937746212,177,322,140,360,145,220
1168402071,2859172114,72,426,0,489,354,489
1119405885,1998118654,145,197,203,306,52,103
1255904938,3872341778,34,485,114,418,451,304
845046577,73730927,64,418,0,484,354,484
1101420397,1767720291,62,436,0,499,374,499
1308878753,278548516,100,399,5,493,299,488
1274880467,4001419918,7,490,34,432,483,398
1313680132,4199418406,0,499,109,389,499,280
1164743087,2792219515,115,384,150,350,269,200
1301788016,4149465660,130,369,90,409,239,319
1316262476,4200881265,92,407,12,486,315,474
1027290688,570649778,106,393,50,449,287,399
1307800359,4172826014,15,445,0,496,430,496
906561790,151058712,57,441,0,499,384,499
1215033703,3465904858,0,499,62,436,499,374
1274732075,479812,74,424,0,499,350,499
1027047959,569755139,101,397,50,449,296,399
1100068995,3716248973,110,389,56,443,279,387
1027840198,574979591,68,430,0,499,362,499
1188538823,3067204188,130,369,130,369,239,239
1225410273,3589914266,14,485,56,456,471,400
1154869896,2644383789,0,499,62,436,499,374
1070234877,1266710545,71,446,100,374,375,274
874730819,75810952,71,427,0,499,356,499
1240179532,3744107387,0,499,109,389,499,280
1010763665,448511217,0,499,62,436,499,374
1313029255,4197486338,80,499,0,406,419,406
1323286686,4231691409,30,477,36,444,447,408
1239003402,3731582677,0,499,0,499,499,499
1187572120,3051279598,0,499,62,436,499,374
927606435,180670253,0,499,196,376,499,180
1317213973,4212342727,0,499,0,499,499,499
1244541239,3785187887,0,499,120,436,499,316
1251709796,456606198,83,415,0,499,332,499
1186685325,3027444088,2,495,2,497,493,495
1273096059,3992972568,93,406,113,415,313,302
1120299443,2012220751,115,381,51,389,266,338
1179591623,2992578592,0,499,82,415,499,333
1294213851,4122561560,0,499,25,499,499,474
988509635,295660188,229,357,145,296,128,151
1316315456,4200883875,0,499,0,499,499,499
1316162059,4208885953,36,450,100,411,414,311
1225886803,2846924727,125,374,125,374,249,249
1127113922,2116372612,52,419,123,372,367,249
1026842776,569564018,100,399,51,447,299,396
1297882342,4137579265,43,456,46,459,413,413
835806978,70035823,156,343,100,399,187,299
996697036,316066156,0,499,62,436,499,374
1316163516,4200875760,143,322,45,406,179,361
1299195151,4141564285,44,476,30,451,432,421
1167816319,471530147,75,425,0,497,350,497
1192013388,3120284886,24,476,66,389,452,323
870836626,74118577,56,461,93,371,405,278
1069908176,285851897,157,342,121,399,185,278
1280920814,4047734568,0,499,62,436,499,374
1051759425,981229282,322,472,374,486,150,112
1303700751,4159373943,106,388,51,463,282,412
1299215787,4139571691,12,490,29,480,478,451
1275238980,4003944137,70,438,72,440,368,368
1300139755,4145102171,10,486,18,498,476,480
1174590008,2940639575,135,363,175,345,228,170
1304165044,4160985266,106,388,51,463,282,412
1314474062,4202303317,31,451,80,491,420,411
483151768,49897366,125,374,72,426,249,354
1071334771,1287609225,109,389,0,499,280,499
1275044549,4004066437,35,477,36,469,442,433
1025929284,556485691,18,489,33,462,471,429
1207172947,3334754477,14,485,0,499,471,499
1310647898,4182265088,8,481,36,461,473,425
988974889,296115679,49,496,209,283,447,74
1260617372,3894591828,72,420,109,398,348,289
1027723406,542470230,27,469,125,372,442,247
1295220634,4125633507,149,351,42,460,202,418
1276130615,4011236355,137,362,29,470,225,441
980545496,283728357,73,426,0,499,353,499
958068641,226300045,68,430,0,499,362,499
1274515130,659502,89,410,0,499,321,499
1303122683,4157460507,0,499,0,499,499,499
1075762443,1352162231,66,432,0,499,366,499
1067605666,1182328606,28,496,37,469,468,432
1245643076,3793570839,43,452,87,379,409,292
1236526057,3708926335,0,499,42,499,499,457
1256826890,3875048414,0,499,0,499,499,499
1192183843,3123019049,71,431,236,486,360,250
1014677288,473941902,114,385,50,449,271,399
1226420302,3598480400,4,498,115,387,494,272
1178471957,2895000204,40,495,0,491,455,491
1124191122,1556884649,88,411,0,499,323,499
1310029604,4182713260,96,403,0,499,307,499
1253519645,3857173157,10,489,150,357,479,207
1249758782,3821565997,0,499,62,436,499,374
1158121434,2695198612,12,489,46,439,477,393
1181073928,2999984619,88,499,92,493,411,401
1314017078,4201307270,158,345,8,486,187,478
1323784542,4235246932,103,389,17,479,286,462
1282549410,4057545819,216,373,240,260,157,20
986689911,292962973,73,426,0,499,353,499
1240837929,3749894094,31,473,154,377,442,223
1202405869,3254908852,95,404,12,486,309,474
1306829461,4168956679,69,436,142,356,367,214
1190254247,2833039405,27,478,147,367,451,220
1263770707,3921350051,34,460,5,493,426,488
1227163050,3607250774,0,499,0,499,499,499
1314580083,4202305310,24,448,127,425,424,298
954359524,218392203,101,399,201,297,298,96
1282287764,4055998758,107,394,85,415,287,330
1075975859,299166489,163,336,100,399,173,299
1275411187,4004189047,0,499,0,499,499,499
1102491292,1800958773,106,393,0,458,287,458
1198122133,2314757626,154,344,100,399,190,299
1278705755,4036971468,78,430,75,429,352,354
1297437909,237373351,88,418,7,489,330,482
1145233570,2488675666,62,436,0,499,374,499
1038928768,764886954,62,436,0,499,374,499
1237460517,1194981178,138,368,176,324,230,148
1276807906,4017072415,137,363,60,450,226,390
1289580037,4088659364,125,397,116,429,272,313
933236972,190093348,73,426,0,499,353,499
1248835649,3817894207,0,497,0,311,497,311
1058640663,1089152235,103,421,85,404,318,319
1276307369,4012701840,52,470,39,453,418,414
1050176285,957823946,81,418,0,499,337,499
1264911785,3928174324,0,499,56,442,499,386
922143861,170273074,63,436,0,499,373,499
1323199809,4231841988,80,424,92,423,344,331
55661230,1994870,63,436,0,499,373,499
868861541,112590386,62,436,0,499,374,499
977100208,276679676,0,499,62,436,499,374
1301498196,4151262164,212,292,0,499,80,499
1255766327,3871291150,8,491,131,349,483,218
1015039579,477406456,0,499,72,427,499,355
1257224817,3879888898,51,352,102,375,301,273
1174587170,2940638845,51,462,39,458,411,419
924578416,175591975,38,460,0,499,422,499
1258861033,3887563516,0,499,0,499,499,499
1141171967,2414352422,0,499,62,436,499,374
1268741130,3936362847,0,499,0,499,499,499
1248865141,3817907174,30,465,66,441,435,375
1307885727,4172855140,0,499,0,477,499,477
1274179786,3998116302,126,367,133,378,241,245
1173594233,2928965029,0,499,62,436,499,374
1280466223,4045003647,0,499,0,499,499,499
1310785710,4182276643,0,499,20,499,499,479
1316991606,4210982304,93,401,92,383,308,291
1323320356,4231696840,0,499,63,499,499,436
1313880093,4200628806,114,485,23,483,371,460
1292405915,4108910253,0,387,145,369,387,224
1323027022,4231802827,0,499,0,499,499,499
1083229408,1475389847,165,333,137,361,168,224
986561271,292680771,53,415,194,245,362,51
1311058220,4182118119,12,499,0,499,487,499
438358441,50100143,0,499,62,437,499,375
1010254431,445052655,0,499,62,436,499,374
1276043281,4010225077,49,475,41,494,426,453
1300854176,4149306551,0,499,100,399,499,299
1321851155,4229060104,24,468,110,369,444,259
898039121,142614834,71,427,0,499,356,499
1310339492,4182236278,0,499,0,499,499,499
1026898613,569667246,103,395,50,449,292,399
865821396,108317943,0,499,114,385,499,271
956769608,222771015,78,408,97,425,330,328
1262519728,3908850893,50,452,18,485,402,467
931490223,185767335,0,499,62,436,499,374
1284108841,4063219135,40,446,110,412,406,302
1257458923,3881467942,37,499,84,441,462,357
1306016535,4167105157,34,464,24,456,430,432
863896862,104587687,100,399,33,465,299,432
1199393467,3229213645,165,348,122,404,183,282
1192147353,3122611114,71,431,261,486,360,225
1248852078,3817904293,42,482,116,383,440,267
987919141,294826856,74,428,20,477,354,457
1262357052,2807584097,69,423,83,407,354,324
1023454214,536648336,25,464,41,437,439,396
1269586300,3433370392,100,399,17,482,299,465
1109696250,1893065913,106,397,132,364,291,232
888589834,47950036,92,407,25,474,315,449
1232556320,3665608680,108,415,120,399,307,279
1265079393,3929342736,14,474,91,397,460,306
1316909581,4211076487,0,499,0,499,499,499
1123932643,2063602532,155,343,100,399,188,299
1100064723,1711735957,110,389,54,445,279,391
1308917360,4177868134,194,304,82,483,110,401
1092330154,1581379375,0,498,81,417,498,336
1306607548,4168614785,0,499,12,486,499,474
1207621111,3343203147,50,482,13,480,432,467
1190012359,3795819519,20,477,122,385,457,263
1278215540,3673696244,100,399,4,494,299,490
957021304,223575259,68,431,0,499,363,499
1178445104,2772685053,84,450,17,483,366,466
1207680510,3344218821,0,499,62,436,499,374
1053578687,1035063039,81,418,0,499,337,499
1269494610,3959361512,0,499,0,437,499,437
1153312254,2625167488,83,416,13,483,333,470
930775052,184846995,90,409,130,369,319,239
1257240345,3879893642,0,499,0,499,499,499
1150734200,2538277388,0,499,62,436,499,374
1300212893,4145413463,0,499,62,436,499,374
1215227123,3155074459,5,494,4,495,489,491
1257586051,3881713113,0,499,1,499,499,498
1314459426,4202303128,0,499,0,499,499,499
1282865248,4057530251,26,474,170,393,448,223
987661208,294485373,144,361,15,487,217,472
1282522034,4057540467,6,428,128,369,422,241
1090821451,1563794080,0,499,42,456,499,414
1086217242,1510340386,0,499,62,436,499,374
1143085856,2455769580,0,499,62,436,499,374
946269195,57233146,154,350,113,391,196,278
1190257951,1876686929,24,473,146,385,449,239
1241390890,3756522342,185,314,175,323,129,148
1041682120,831980324,50,449,50,449,399,399
301845721,3808792,185,314,158,341,129,183
1305402560,4165070699,140,363,0,499,223,499
1276667423,4014864078,75,423,0,499,348,499
1281717038,4052947382,0,499,0,499,499,499
1223231945,3579654475,85,395,183,321,310,138
1188396792,3064238319,0,499,0,499,499,499
1017422516,239406964,190,309,175,324,119,149
1089482925,1553200085,67,499,132,364,432,232
1301548512,4150998683,62,431,18,490,369,472
1211778186,3410088417,119,410,0,499,291,499
1283636339,4061595351,126,415,56,304,289,248
1237005727,3709075139,55,443,0,499,388,499
1311274619,1898548785,100,399,25,474,299,449
1117991833,1978506117,168,328,127,374,160,247
857883871,86002858,190,309,160,339,119,179
1314368024,4200676874,0,499,0,499,499,499
1282008871,4050754276,36,461,54,468,425,414
1253211840,3854772259,90,311,72,429,221,357
1266486761,3938615234,6,473,168,488,467,320
1308930908,4177868616,54,459,146,375,405,229
1163023011,1952783462,132,359,76,420,227,344
1242870217,1100406511,102,396,0,499,294,499
1137787849,2343852018,0,499,79,419,499,340
1279270732,4037116069,80,412,90,436,332,346
1294061562,4121363818,83,415,0,499,332,499
1308849716,278404137,158,337,45,402,179,357
1008633917,439040846,73,425,0,499,352,499
1249797266,3822891540,0,499,62,436,499,374
1261422533,3898727022,130,389,10,480,259,470
1079155908,1414869620,128,367,93,405,239,312
1269952164,3964948825,0,499,0,499,499,499
1301208751,4150966081,0,484,31,476,484,445
1007657493,435047793,74,424,0,499,350,499
1276438985,4013274434,0,499,0,499,499,499
1201854087,2352403124,51,465,44,445,414,401
1204264835,3219904004,25,470,35,461,445,426
1119611859,2000119310,70,429,0,499,359,499
1007641507,435065683,100,399,18,481,299,463
933513845,190707414,62,436,0,499,374,499
958035761,226222944,0,499,109,389,499,280
1215216784,3469567684,0,499,69,430,499,361
1027116179,569882454,108,391,50,449,283,399
1209098122,3368768552,0,499,111,395,499,284
539067330,53291144,83,414,0,498,331,498
1042990725,846366959,155,367,8,454,212,446
1065871365,1155465733,74,424,0,499,350,499
1150215647,2570313613,62,436,0,499,374,499
1268878858,1133158756,106,392,0,499,286,499
934652297,193185343,38,374,102,416,336,314
1075431714,1345124589,170,330,67,430,160,363
1284073977,4063403643,0,499,81,499,499,418
1158120629,2695197183,0,498,100,400,498,300
1322425061,4230466131,81,419,16,483,338,467
1280703318,4046438562,69,421,134,453,352,319
1188462884,3065095707,0,499,62,436,499,374
1026902103,569595053,110,389,50,449,279,399
1112295840,1922746155,51,452,17,471,401,454
1252626963,3850327092,159,336,83,424,177,341
1102527010,1802331155,7,494,49,449,487,400
1158796630,2703667347,114,385,160,339,271,179
1307483570,4171080520,83,482,12,479,399,467
1289405118,4086541333,62,436,0,499,374,499
1000634976,354622903,62,436,0,499,374,499
1164643427,2789002515,22,480,48,450,458,402
1088639322,1541082847,95,403,0,499,308,499
1131801916,2211760653,0,499,83,415,499,332
1195469399,3170638494,76,425,79,421,349,342
1273534587,3992748289,56,475,46,458,419,412
137574630,3928919,155,344,124,375,189,251
1202883454,3265357441,0,415,162,373,415,211
1310302961,4182232770,70,406,155,391,336,236
941839136,207542568,4,494,104,394,490,290
1304124635,4149003954,80,421,130,364,341,234
921249954,168344981,1,496,97,402,495,305
1255749049,3871090854,0,499,0,499,499,499
993167653,300983558,82,417,27,471,335,444
1275705008,4006536216,173,412,128,458,239,330
874727636,47411201,75,423,0,499,348,499
1174586413,2940638701,174,307,216,307,133,91
1275621877,4006501657,105,419,57,451,314,394
1158192786,2682815781,100,384,65,446,284,381
1324191014,4236297451,174,330,158,416,156,258
1135474209,2309273634,32,470,10,487,438,477
1263216038,3915404150,138,357,5,492,219,487
1008002207,435849480,133,365,100,399,232,299
1255263105,3869230287,0,499,0,499,499,499
1009324822,440662798,175,323,142,356,148,214
1273877841,3995297424,0,499,0,499,499,499
1279998683,4042587826,21,474,19,447,453,428
1111669652,1118849509,181,320,11,130,139,119
1232193116,3654617668,68,369,36,452,301,416
1309691651,4179732419,16,451,28,476,435,448
1115642238,1948803444,0,499,0,499,499,499
1166965098,2827770749,13,482,11,490,469,479
1025433499,550820791,71,428,0,499,357,499
1282362057,4056051171,136,372,125,468,236,343
1204635212,3294453709,4,492,83,415,488,332
1301273500,4151248549,84,404,127,385,320,258
1225886793,1936221326,133,365,185,315,232,130
1252253815,3847299999,62,436,0,499,374,499
1270439144,3971953114,3,496,8,497,493,489
1276325309,4012664918,98,403,103,458,305,355
923984409,163927988,90,411,71,463,321,392
1310784826,4182276611,30,469,106,424,439,318
1307457910,4168852230,50,443,78,456,393,378
1017531634,506418481,0,475,69,420,475,351
1224173231,3585628151,0,499,56,433,499,377
1277530839,4019812866,47,447,166,373,400,207
987610811,294456341,100,399,129,370,299,241
964041708,226903486,62,436,0,499,374,499
1190938369,2790688159,167,352,135,366,185,231
1117966751,1978250116,107,401,413,451,294,38
1253519525,3857173086,36,461,158,343,425,185
1257268712,3879903153,0,499,0,499,499,499
